x,R,G,B,min_over_frames_G,max_over_frames_G,mean_over_frames_G
1038,228,232,228,228,232,229.267
1039,232,228,228,228,232,229.400
1040,228,232,232,228,232,229.333
1041,232,232,232,228,232,230.400
1042,228,228,232,228,232,229.600
1043,232,228,228,228,232,230.400
1044,228,232,228,228,232,230.333
1045,232,232,232,228,232,231.000
1046,228,232,232,228,232,231.067
1047,228,232,228,228,232,230.800
1048,232,232,232,228,232,231.467
1049,232,232,232,228,232,231.333
1050,232,232,232,228,232,231.733
1051,232,232,232,232,232,232.000
1052,232,232,232,232,236,232.333
1053,232,232,232,232,236,232.467
1054,232,232,232,232,236,232.733
1055,232,236,232,232,236,233.000
1056,232,232,232,232,236,233.200
1057,236,232,232,232,236,233.467
1058,236,236,232,232,236,233.467
1059,232,232,236,232,236,233.733
1060,232,236,232,232,236,234.333
1061,236,232,236,232,236,234.467
1062,236,236,232,232,236,234.400
1063,232,232,236,232,236,234.733
1064,236,236,232,232,236,235.133
1065,236,236,236,232,236,234.800
1066,232,236,236,232,236,235.267
1067,236,236,236,232,236,235.600
1068,236,236,236,232,236,235.933
1069,236,236,236,232,236,235.867
1070,236,236,236,236,240,236.200
1071,236,236,236,236,240,236.667
1072,240,236,236,236,240,236.467
1073,236,236,236,236,240,236.867
1074,240,240,236,236,240,236.933
1075,240,240,236,236,240,237.000
1076,236,240,240,236,240,237.467
1077,240,240,240,236,240,237.733
1078,236,236,240,236,240,237.933
1079,240,236,236,236,240,237.933
1080,236,240,236,236,240,238.133
1081,240,236,240,236,240,238.400
1082,240,240,240,236,240,238.467
1083,240,240,240,236,240,239.267
1084,240,240,240,236,240,239.200
1085,240,240,240,236,240,239.200
1086,240,240,240,236,240,239.600
1087,240,240,240,240,240,240.000
1088,240,240,240,240,244,240.267
1089,240,240,240,240,244,240.200
1090,240,240,240,240,244,240.600
1091,240,240,240,240,244,240.733
1092,240,240,244,240,244,240.933
1093,244,240,240,240,244,241.267
1094,240,244,240,240,244,241.200
1095,240,244,244,240,244,241.733
1096,240,244,244,240,244,242.067
1097,244,240,244,240,244,242.067
1098,240,244,240,240,244,242.200
1099,240,240,244,240,244,241.667
1100,244,244,240,240,244,243.067
1101,244,244,244,240,244,242.467
1102,244,244,244,240,244,242.933
1103,240,244,244,240,244,243.600
1104,244,244,244,240,244,243.533
1105,244,244,244,240,244,243.733
1106,244,244,244,244,244,244.000
1107,244,244,244,244,248,244.200
1108,248,244,244,244,248,244.533
1109,244,244,244,244,248,244.600
1110,244,244,244,244,248,245.000
1111,244,248,244,244,248,245.533
1112,248,244,248,244,248,245.267
1113,248,244,244,244,248,245.467
1114,244,244,244,244,248,246.267
1115,248,248,244,244,248,246.333
1116,244,248,248,244,248,246.467
1117,248,248,248,244,248,246.600
1118,244,248,248,244,248,246.933
1119,248,248,248,244,248,246.733
1120,248,248,248,244,248,247.067
1121,248,248,248,244,248,247.667
1122,248,248,248,244,248,247.867
1123,248,248,248,248,248,248.000
1124,248,248,248,248,248,248.000
1125,248,252,248,248,252,248.333
1126,248,248,248,248,252,248.467
1127,248,248,248,248,252,248.667
1128,252,248,252,248,252,249.133
1129,248,252,248,248,252,249.533
1130,248,248,252,248,252,249.467
1131,248,248,252,248,252,249.333
1132,252,252,248,248,252,249.667
1133,252,252,252,248,252,250.400
1134,252,252,252,248,252,250.533
1135,252,252,252,248,252,250.533
1136,252,252,248,248,252,251.200
1137,252,252,252,248,252,250.800
1138,252,248,248,248,252,251.000
1139,252,252,252,248,252,251.333
1140,252,252,252,248,252,251.733
1141,252,252,252,248,252,251.800
1142,252,252,252,252,256,252.133
1143,252,252,252,252,256,252.200
1144,252,252,256,252,256,252.600
1145,252,252,256,252,256,252.733
1146,256,256,256,252,256,252.600
1147,252,256,256,252,256,253.133
1148,252,252,256,252,256,253.467
1149,256,256,252,252,256,253.200
1150,256,256,256,252,256,253.800
1151,256,252,256,252,256,253.800
1152,252,256,252,252,256,254.467
1153,256,252,256,252,256,254.467
1154,252,256,252,252,256,254.533
1155,256,256,256,252,256,255.067
1156,256,256,256,252,256,255.133
1157,256,256,256,252,256,255.333
1158,256,256,256,252,256,255.267
1159,256,256,256,252,256,255.867
1160,256,256,256,256,256,256.000
1161,256,256,256,256,260,256.067
1162,260,260,256,256,260,256.267
1163,256,260,256,256,260,256.800
1164,256,256,260,256,260,256.667
1165,256,256,260,256,260,257.067
1166,260,256,256,256,260,257.667
1167,260,260,260,256,260,257.267
1168,256,260,260,256,260,257.600
1169,260,256,260,256,260,258.200
1170,256,260,256,256,260,258.333
1171,256,260,260,256,260,258.467
1172,260,256,260,256,260,258.467
1173,260,260,256,256,260,259.067
1174,260,260,260,256,260,258.867
1175,260,260,260,256,260,259.333
1176,260,260,256,256,260,259.533
1177,260,260,260,256,260,259.733
1178,260,260,260,256,260,259.933
1179,260,260,260,260,264,260.467
1180,260,264,260,260,264,260.600
1181,264,264,260,260,264,261.200
1182,260,260,260,260,264,260.933
1183,264,260,260,260,264,261.267
1184,264,260,260,260,264,261.200
1185,264,264,260,260,264,261.200
1186,260,264,264,260,264,261.400
1187,260,264,264,260,264,262.200
1188,264,260,264,260,264,261.933
1189,260,264,260,260,264,262.067
1190,264,260,264,260,264,262.867
1191,264,260,264,260,264,263.067
1192,260,264,264,260,264,262.933
1193,264,264,264,260,264,263.267
1194,264,264,264,260,264,263.733
1195,264,264,264,260,264,263.667
1196,264,264,264,260,264,263.733
1197,268,264,264,264,268,264.133
1198,264,264,264,264,268,264.400
1199,264,264,264,264,268,264.800
1200,264,264,264,264,268,264.733
1201,264,264,264,264,268,265.067
1202,268,268,264,264,268,265.333
1203,268,264,268,264,268,265.333
1204,268,268,264,264,268,265.867
1205,264,264,268,264,268,265.867
1206,268,264,264,264,268,265.467
1207,264,264,264,264,268,266.000
1208,268,268,268,264,268,266.400
1209,268,268,268,264,268,267.067
1210,268,264,268,264,268,266.533
1211,268,268,268,264,268,267.333
1212,268,268,264,264,268,267.000
1213,268,268,268,264,268,267.667
1214,268,268,268,264,268,267.867
1215,268,268,268,268,268,268.000
1216,268,268,268,268,272,268.133
1217,268,268,268,268,272,268.800
1218,268,268,268,268,272,268.867
1219,268,272,268,268,272,268.933
1220,268,272,272,268,272,269.000
1221,272,268,272,268,272,269.600
1222,268,272,268,268,272,269.733
1223,268,272,272,268,272,269.133
1224,268,272,272,268,272,270.333
1225,272,268,272,268,272,270.133
1226,272,272,268,268,272,270.667
1227,268,272,268,268,272,270.933
1228,268,272,272,268,272,270.800
1229,272,272,272,268,272,270.933
1230,272,272,272,268,272,271.267
1231,272,272,272,268,272,271.800
1232,272,272,272,272,272,272.000
1233,272,272,272,272,272,272.000
1234,272,272,272,272,276,272.067
1235,272,272,272,272,276,272.400
1236,272,272,272,272,276,272.600
1237,276,272,276,272,276,272.667
1238,272,276,272,272,276,273.467
1239,276,272,276,272,276,273.400
1240,276,272,276,272,276,273.733
1241,276,276,272,272,276,273.733
1242,272,272,276,272,276,274.333
1243,272,276,272,272,276,273.800
1244,276,272,276,272,276,274.400
1245,276,276,272,272,276,274.800
1246,276,276,276,272,276,275.000
1247,276,276,276,272,276,274.933
1248,276,276,276,272,276,275.400
1249,276,276,276,272,276,275.533
1250,276,276,276,272,276,275.933
1251,276,276,276,276,276,276.000
1252,276,276,280,276,280,276.467
1253,280,276,276,276,280,276.600
1254,276,276,276,276,280,276.133
1255,280,276,276,276,280,276.933
1256,280,276,280,276,280,277.133
1257,276,276,276,276,280,276.733
1258,280,280,276,276,280,278.067
1259,276,276,280,276,280,277.933
1260,280,280,276,276,280,278.467
1261,276,276,280,276,280,278.000
1262,280,276,276,276,280,278.133
1263,280,280,276,276,280,278.267
1264,280,280,280,276,280,278.800
1265,280,280,280,276,280,279.200
1266,280,280,280,276,280,279.667
1267,280,280,280,276,280,279.800
1268,280,280,280,276,280,279.867
1269,280,280,280,280,280,280.000
1270,280,280,280,280,284,280.200
1271,280,280,280,280,284,280.333
1272,280,284,280,280,284,280.533
1273,280,284,280,280,284,281.067
1274,280,284,284,280,284,281.533
1275,284,284,284,280,284,281.600
1276,280,284,284,280,284,281.600
1277,284,280,284,280,284,281.600
1278,280,280,280,280,284,282.067
1279,284,280,280,280,284,282.200
1280,284,284,284,280,284,282.200
1281,284,284,284,280,284,283.067
1282,284,284,280,280,284,283.200
1283,284,284,284,280,284,283.133
1284,284,284,280,280,284,283.467
1285,284,284,284,280,284,283.333
