nit,expected_pq10,scrgb_iflip_G,hdr10_iflip_G,scrgb_composed_G,hdr10_composed_G
2,193,192,193,192,193
5,254,253,255,253,254
10,307,306,307,306,307
20,365,365,366,365,365
40,429,429,430,429,429
80,497,497,497,497,497
120,539,539,539,539,538
160,569,569,570,569,569
203,594,594,594,594,594
300,636,636,637,636,636
400,668,668,668,668,667
600,712,712,713,712,712
800,744,744,745,744,744
1000,769,769,769,769,769
1500,814,815,815,815,814
2000,846,847,848,847,847
